TROCA DE TURNO 2026;;;;META  + ACUMULADO;SEP. TURNO A;SEP. TURNO B;SEP. TURNO C;SEP. TURNO D;FAT GM;FAT FM;FAT TRANSF.;FAT CACAU;FAT FOB;FAT GRANEL
;;;;1053423,99;2685420,144;2301731,58;103,835,00;11648187,41;37.991,03;82.732,00;0,00;1.750,50;0,00;26.150,00
;;;;;;;;;;;;;;
;;;;EQUIPAMENTO PARADO;;NF COM ERRO;CARRO EMBARCADO;;SEP GM;SEP FM;SEP TRANSF.;SEP CACAU;SEP FOB;
;;;;;;;;;43.796,62;82.732,00;0,00;1.246,00;0,00;
;;;;8,00;;0,00;8;;;;;;;
DATA;TURNO;RESP TURNO;PROGRAMAÇÃO;ROTA;MEDIDA;PLANEJADO;Executado;PERCENTUAL REALIZADO;PENDENCIAS;VOLUME FATURADO;TRANSPORTADFORA;FATURAMENTO;EMBARQUE;Coluna2
21/07/2026;B;THIAGO;FLOOR;PRODUÇÃO;PAL;68;68;100%;;;;REALIZADO;REALIZADO;
21/07/2026;B;THIAGO;GM;SUL;TONS;24,039;24,039;100%;;;RENOVAÇÃO;PARCIAL;PENDENTE;RS / PR - JÁ FATURADO - SC - FALTA FATURAR
22/07/2026;B;THIAGO;SMT001CA;SP CAP / INT;TONS;2825;2825;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;C;ADIB;SMT001MACPAN;SP CAP / INT;TONS;13,331;13,331;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
22/07/2026;B;THIAGO;SMT002CA;SP CAP / INT;TONS;1780;1780;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;B;THIAGO;SMT003CA;SP CAP / INT;TONS;1978;1978;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;B;THIAGO;SMT004CA;SP CAP / INT;TONS;4689;4689;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;C;ADIB;GM;SP INT;TONS;21,954;21,954;100%;;;SMARTLOG;PENDENTE;PENDENTE;SEPARADO E CONFERIDO - EMBARQUE 24/07
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;14,366;14,366;100%;;;SMARTLOG;PENDENTE;REALIZADO;CARREGAMENTO DISTRIB IMPORTADORA
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;4,28;4,28;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - CARRO NO PATIO - FALTA CARREGAR
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;18,976;18,976;100%;;;PROPRIO;REALIZADO;PENDENTE;OESA- FATURADO - CARRO NO PATIO - FALTA CARREGAR
22/07/2026;D;ADAO;GM;C.OESTE/ES/NORTE;TONS;17960;17960;100%;;;TAFF;PENDENTE;PENDENTE;co separado falta conferir norte fata separ ots geradas
22/07/2026;C;ADIB;GM;C.OESTE/ES/NORTE;TONS;19610;19610;100%;;;;;;
23/07/2026;C;ADIB;GM;SMT001BRU;TONS;637;637;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;C;ADIB;GM;SMT001DINIZ;TONS;1,773;1,773;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;C;ADIB;GM;SMT001RIBER;TONS;1,695;1,695;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;D;ADAO;GM;SMT003DI;TONS;11893;11893;100%;;;SMARTLOG;PENDENTE;PENDENTE;
22/07/2026;D;ADAO;SEP. CACAU;BR15;TONS;19782;19782;100%;;;SMARTLOG;PENDENTE;PENDENTE;
23/07/2026;D;ADAO;CONT. PK1;CALLEBAUT;POSIÇÃO;200;200;100%;;;;;;
23/07/2026;D;ADAO;FLOOR;PRODUÇÃO;PAL;70;70;100%;;;;;;
23/07/2026;D;ADAO;REC. IMPORTADO;MIGO;PAL;28;28;100%;;;;;;
23/07/2026;D;ADAO;REC. D2;EXTREMA;PAL;28;28;100%;;;;;;
23/07/2026;C;ADIB;GM;NORTE;TONS;12,994;12,994;100%;;;;;;SEPARADO E FATURADO
23/07/2026;C;ADIB;GM;C.O;TONS;24,573;24,573;100%;;;TAFF;;PENDENTE;REALIZAMOS TODA CONFERENCIA E FATURAMENTO C.OESTE / ES
23/07/2026;C;ADIB;REC. IMPORTADO;MIGO;PAL;28;28;100%;;;D2;;;DESCARREGADO - FALTA ENTRADA
23/07/2026;C;ADIB;SEP. CACAU;BR15;TONS;15;15;100%;;;PROPRIO;REALIZADO;REALIZADO;SEPARADO CARREGADO E LIBERADO
23/07/2026;C;ADIB;REC. BR15;BR15;PAL;28;28;100%;;;PROPRIO;;;RECEBIMENTO CACAU TOMBINI - RECEBIDO E ARMAZENADO
23/07/2026;C;ADIB;GM;SP CAP / INT;TONS;1,914;1,914;100%;;;SMARTLOG;REALIZADO;PENDENTE;DIRETAS SMARTLOG 22/07 
23/07/2026;D;ADAO;REC. D2;EXTREMA;PAL;28;28;100%;;;D2;;;RECEBER CARGA IMPORTADO / ESTE MESMO CARRO VAI CARREGAR PANDURATA
24/07/2026;A;TATIANE;FOB;FOB;TONS;1640;1640;100%;;1.640,00;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;72,6;72,6;100%;;72,60;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;5183;5183;100%;;5.183,00;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;164;164;100%;;164,00;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;10977;10977;100%;;10.977,00;PROPRIO;REALIZADO;PENDENTE;SPAN VALE - MOTORISTA NO PATIO- FIRMEZA
23/07/2026;D;ADAO;FOB;FOB;TONS;10080;10080;100%;;;;;;
24/07/2026;A;TATIANE;FOB;FOB;TONS;694,8;694,8;100%;;694,80;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;404;404;100%;;404,00;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
24/07/2026;A;TATIANE;FOB;FOB;TONS;121,2;121,2;100%;;121,20;PROPRIO;REALIZADO;REALIZADO;LOJA DOCE
23/07/2026;D;ADAO;FOB;FOB;TONS;9468;9468;100%;;;;;;
23/07/2026;D;ADAO;FOB;FOB;TONS;9468;9468;100%;;;;;;
23/07/2026;D;ADAO;FOB;FOB;TONS;10211;10211;100%;;;;;;
23/07/2026;D;ADAO;FOB;FOB;TONS;9446,4;9446,4;100%;;;;;;
23/07/2026;D;ADAO;FOB;FOB;TONS;10211;10211;100%;;;;;;
24/07/2026;A;TATIANE;FOB;FOB;TONS;9446,4;9446,4;100%;;9446;PROPRIO;PENDENTE;PENDENTE;SEPARADO E CONFERIDO - LUZIA MEIRE
24/07/2026;A;TATIANE;FOB;FOB;TONS;3000;3000;100%;;;PROPRIO;PENDENTE;PENDENTE;SBB- SEPARADO E CONFERIDO
23/07/2026;D;ADAO;FM;FM;TONS;12948;12948;100%;;;;;;
23/07/2026;D;ADAO;FM;FM;TONS;28054;28054;100%;;;;;;
23/07/2026;D;ADAO;FM;FM;TONS;22228;22228;100%;;;;;;
24/07/2026;A;TATIANE;GM;PR;TONS;7286;7286;100%;;7.286,00;RENOVAÇÃO;REALIZADO;PENDENTE;OT GERADAS
24/07/2026;B;THIAGO;GM;SC;TONS;1006;1006;100%;;1006;;REALIZADO;PENDENTE;faturado
24/07/2026;B;THIAGO;GM;RS;TONS;3215;3215;100%;;3215;;REALIZADO;PENDENTE;faturado
24/07/2026;D;ADAO;GM;AGENDAS SMART;TONS;20376;20376;100%;;;;;;
24/07/2026;D;ADAO;REC. D2;EXTREMA;PAL;24;24;100%;;;;;;DAR ENTRADA
24/07/2026;D;ADAO;REC. IMPORTADO;EXTREMA;PAL;24;24;100%;;;;;;DAR ENTRADA
24/07/2026;D;ADAO;FLOOR;FABRICA;PAL;72;72;100%;;;;;;
24/07/2026;D;ADAO;ABASTECIMENTO PK1;PK1;PAL;21;21;100%;;;;;;
24/07/2026;A;TATIANE;GRANEL;FM;TONS;26670;26670;100%;;26670;JSL;REALIZADO;REALIZADO;PANDURATA
24/07/2026;A;TATIANE;BR15;BR15;TONS;21256;21256;100%;;21.256,00;SMARTLOG;REALIZADO;PENDENTE;CACAU 27/07
24/07/2026;A;TATIANE;BR15;BR15;TONS;6000;6000;100%;;6.000,00;PROPRIO;REALIZADO;REALIZADO;FOB CACAU
24/07/2026;A;TATIANE;FOB;FOB;TONS;10592;10592;100%;;10.592,00;PROPRIO;REALIZADO;REALIZADO;CASA DA PANIFICAÇÃO
27/07/2026;B;THIAGO;GM;C.O;TONS;34189;34189;100%;;;;PENDENTE;PENDENTE;em conferencia
23/07/2026;B;THIAGO;FM;FM;TONS;28054;28054;100%;;;;;;
24/07/2026;B;THIAGO;FM;FM;TONS;28054;28054;100%;;28054;;REALIZADO;REALIZADO;
24/07/2026;;;FM;FM;TONS;12.948,00;;;;;;;;
