TROCA DE TURNO 2026;;;;META  + ACUMULADO;SEP. TURNO A;SEP. TURNO B;SEP. TURNO C;SEP. TURNO D;FAT GM;FAT FM;FAT TRANSF.;FAT CACAU;FAT FOB;FAT GRANEL
;;;;1053423,99;2685420,144;2301731,58;103,835,00;11648187,41;37.991,03;82.732,00;0,00;1.750,50;0,00;26.150,00
;;;;;;;;;;;;;;
;;;;EQUIPAMENTO PARADO;;NF COM ERRO;CARRO EMBARCADO;;SEP GM;SEP FM;SEP TRANSF.;SEP CACAU;SEP FOB;
;;;;;;;;;43.796,62;82.732,00;0,00;1.246,00;0,00;
;;;;8,00;;0,00;8;;;;;;;
DATA;TURNO;RESP TURNO;PROGRAMAÇÃO;ROTA;MEDIDA;PLANEJADO;Executado;PERCENTUAL REALIZADO;PENDENCIAS;VOLUME FATURADO;TRANSPORTADFORA;FATURAMENTO;EMBARQUE;Coluna2
28/07/2026;;;;MG;TONS;16.500,00;;;;;;;;
28/07/2026;B;THIAGO;abastecimento;;PAL;28,00;28,00;100%;;;;;;
29/07/2026;A;TATIANE;FOB;embaleme;TONS;3.065,00;3.065,00;100%;;3065;PROPRIO;;;
29/07/2026;A;TATIANE;GM;MG;TONS;18.923,00;18.923,00;100%;;3280;;PARCIAL;PENDENTE;MOTORISTA - PORTARIA
29/07/2026;A;TATIANE;GM;MIX TUDO;TONS;24.580,00;24.580,00;100%;;25360;PROPRIO;REALIZADO;REALIZADO;
29/07/2026;A;TATIANE;GM;MIX TUDO;TONS;10.238,00;10.238,00;100%;8.000,00;;;PENDENTE;PENDENTE;
29/07/2026;A;TATIANE;SEP BR 15;BR15;TONS;19.950,00;16.250,00;81%;3.700,00;8350;SMARTLOG;PARCIAL;PENDENTE;FALTA DEPARAR 2 DELIVERYS
29/07/2026;A;TATIANE;FM;FOB/FM;TONS;26.775,00;26.775,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
29/07/2026;A;TATIANE;FOB;FOB;TONS;23.136,00;23.136,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
29/07/2026;A;TATIANE;FOB;FOB;TONS;10.977,00;10.977,00;100%;;;;;;
29/07/2026;A;TATIANE;FOB;FOB;TONS;10.086,00;10.086,00;100%;;10.086,00;PROPRIO;REALIZADO;REALIZADO;
29/07/2026;A;TATIANE;GM;SP CAP / INT;TONS;580,00;580,00;100%;;580;SMARTLOG;REALIZADO;PENDENTE;
29/07/2026;B;THIAGO;GM;CROSS;TONS;21.686,00;21.686,00;100%;;;;;;INICIAR DO ZERO - Abastecido
29/07/2026;A;TATIANE;FLOOR;FLOR;PAL;70,00;70,00;100%;;;;;;
29/07/2026;B;THIAGO;fm;pandurata;TONS;28.054,00;28.054,00;100%;;28054;EPEEDYLOG;REALIZADO;REALIZADO;
29/07/2026;B;THIAGO;fm;siena;TONS;19.422,00;19.422,00;100%;;19422;EPEEDYLOG;REALIZADO;REALIZADO;
29/07/2026;B;THIAGO;fm;pandurata;TONS;28.054,00;28.054,00;100%;;28054;EPEEDYLOG;REALIZADO;REALIZADO;
29/07/2026;B;THIAGO;gm;brazalmeida;TONS;25.765,00;25.765,00;100%;;25765;;REALIZADO;PENDENTE;
29/07/2026;B;THIAGO;gm;rfc;TONS;16.195,00;16.195,00;100%;;;;;;
29/07/2026;B;THIAGO;FM;pandurata;TONS;28.054,00;28.054,00;100%;;28054;EPEEDYLOG;REALIZADO;REALIZADO;
29/07/2026;B;THIAGO;gm;DISPAN;TONS;5.422,00;;;;;;;;
29/07/2026;B;THIAGO;GM;CROSS D2;TONS;15.648,00;15.648,00;100%;;15648;D2;REALIZADO;PENDENTE;
29/07/2026;B;THIAGO;floor;;PAL;78,00;78,00;100%;;;;;;
30/07/2026;C;ADIB;GM;MIX TUDO ;;2.946,00;2.946,00;100%;;;PROPRIO;;PENDENTE;
30/07/2026;C;ADIB;FOB;COFERPAN;TONS;7.480,00;7.480,00;100%;;;PROPRIO;PENDENTE;PENDENTE;FALTA PEGAR 1 PALETE NIVÉL G ( FALTA MAQUINA )
30/07/2026;C;ADIB;FOB;ORGANI BRAZALMEIDA;TONS;21.814,00;21.814,00;100%;;;PROPRIO;PENDENTE;PENDENTE;FALTA PEGAR 1 PALETE NIVÉL G ( FALTA MAQUINA )
30/07/2026;C;ADIB;FM;PANDURATA;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;PANDURATA - CARREGADO E LIBERADO
30/07/2026;C;ADIB;GM;SP CAP SP INT;TONS;6.430,00;6.430,00;100%;;;SMARTLOG;REALIZADO;REALIZADO;AGENDADAS DIA 31/07
30/07/2026;C;ADIB;FOB;PRODUPAN;TONS;1.717,00;1.717,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
30/07/2026;C;ADIB;FOB;BRAZALMEIDA;TONS;29.768,00;29.768,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
30/07/2026;C;ADIB;FM;PANDURATA;TONS;28.054,00;28.054,00;100%;;;SMARTLOG;REALIZADO;;PANDURATA - GUARULHOS
30/07/2026;C;ADIB;FOB;CASA PANIF;TONS;3.504,00;3.504,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
30/07/2026;C;ADIB;FOB;CUNHAPAN;TONS;1.234,00;1.234,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
30/07/2026;C;ADIB;GRANEL;PANDURATA;TONS;27.020,00;27.020,00;100%;;;JSL;REALIZADO;REALIZADO;LIBERADO
30/07/2026;C;ADIB;CACAU BR15;CACAU BR15;TONS;12.945,00;12.945,00;100%;;;SMARTLOG;REALIZADO;REALIZADO;CACAU BR15 - SEPARADO E FATURADO
30/07/2026;C;ADIB;RETORNO D2;RETORNO D2;PAL;30,00;30,00;100%;;;SMARTLOG;REALIZADO;REALIZADO;RETORNO D2 - IMPORTADO - ENTRADA REALIZADA
30/07/2026;D;ADAO;FOB;DISCAMPABAMBA;TONS;9.052,00;;;;;PROPRIO;PENDENTE;PENDENTE;FALTA SEPARARA - PENDENCIA PALETE NIVÉL G 
30/07/2026;D;ADAO;FOB;RFC / MIX TUDO;TONS;18.395,00;18.395,00;100%;;;;PENDENTE;;FALTA SEPARARA - PENDENCIA PALETE NIVÉL G 
30/07/2026;D;ADAO;FM;IBE;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;PENDENTE;
30/07/2026;D;ADAO;FM;PANDURATA;TONS;28.054,00;28.054,00;100%;;;SMARTLOG;REALIZADO;;
30/07/2026;D;ADAO;FM;CAPRICCHE SA;TONS;13.518,00;13.518,00;100%;;;EPEEDYLOG;REALIZADO;;
30/07/2026;D;ADAO;FM;PANDURATA;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
30/07/2026;D;ADAO;FOB;FOB;TONS;3.694,00;3.694,00;100%;;;PROPRIO;PENDENTE;;
30/07/2026;D;ADAO;FM;NESTLE;TONS;24.817,00;24.817,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
30/07/2026;D;ADAO;TRANSFERENCIA;BC MACEIO;TONS;18.836,00;18.836,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
30/07/2026;D;ADAO;CROSS LOGGIO;SP;TONS;8.915,00;8.915,00;100%;;;LOGUIO;REALIZADO;;
30/07/2026;D;ADAO;SMARTLOG;SP;TONS;5.151,00;5.151,00;100%;;;SMARTLOG;;;
30/07/2026;D;ADAO;FM;MAGNUM;TONS;26.507,00;26.507,00;100%;;;;;;
30/07/2026;D;ADAO;FLOOR;ABASTECIMENTO ;PAL;151,00;151,00;100%;;;;;;
31/07/2026;C;ADIB;FM;M DIAS;TONS;8.632,00;8.632,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;AGUARDANDO CARRO 
31/07/2026;C;ADIB;FM;MAGNUM;TONS;12.720,00;12.720,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;AGUARDANDO CARRO 
31/07/2026;C;ADIB;FM;PANDURATA;TONS;12.948,00;12.948,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;AGUARDANDO CARRO 
31/07/2026;C;ADIB;FM;NESTLE;TONS;8.632,00;8.632,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;AGUARDANDO CARRO 
31/07/2026;C;ADIB;FOB;PADEIRÃO;TONS;8.284,00;8.284,00;100%;;;PROPRIO;PENDENTE;PENDENTE;AGUARDANDO CARRO 
31/07/2026;C;ADIB;FOB;MIX TUDO;TONS;8.665,00;8.665,00;100%;;;PROPRIO;PENDENTE;PENDENTE;AGUARDANDO CARRO 
31/07/2026;C;ADIB;RECEB CACAU;CACAU;PAL;12,00;12,00;100%;;;TIO CARLO;REALIZADO;REALIZADO;REALIZADA ENTRADA E ARMAZENADO
31/07/2026;C;ADIB;GM;SP CAP;TONS;560,00;560,00;100%;;;SMARTLOG;REALIZADO;REALIZADO;
31/07/2026;C;ADIB;FOB;DISTRIB IMPORT;TONS;3.436,00;3.436,00;100%;;;PROPRIO;;;
31/07/2026;C;ADIB;ABASTECIMENTO ;C.OESTE/ES/NORTE;PAL;22,00;22,00;100%;;;;;;ABASTECIMENTO ROTAS C.OESTE/ES/NORTE
31/07/2026;D;ADAO;FOB;RFC / BRAZALMEIDA;TONS;33.495,00;33.495,00;100%;;;PROPRIO;REALIZADO;PENDENTE;
31/07/2026;D;ADAO;FOB;;TONS;835,00;835,00;100%;;;PROPRIO;REALIZADO;PENDENTE;
31/07/2026;D;ADAO;FOB;;TONS;15.582,00;15.582,00;100%;;;PROPRIO;REALIZADO;PENDENTE;
31/07/2026;D;ADAO;FOB;MIX TUDO;TONS;8.220,00;8.220,00;100%;;;PROPRIO;REALIZADO;PENDENTE;
31/07/2026;D;ADAO;FOB;;TONS;12.063,00;12.063,00;100%;;;PROPRIO;REALIZADO;;
31/07/2026;D;ADAO;FOB;;TONS;10.474,00;10.474,00;100%;;;PROPRIO;REALIZADO;;
31/07/2026;D;ADAO;FM;MAGNUM;TONS;20.338,00;20.338,00;100%;;;EPEEDYLOG;REALIZADO;;
31/07/2026;D;ADAO;FM;M DIAS;TONS;28.738,00;28.738,00;100%;;;EPEEDYLOG;REALIZADO;;
31/07/2026;D;ADAO;FM;NESTLE / PANDURATA;TONS;45.505,00;45.505,00;100%;;;EPEEDYLOG;REALIZADO;;
31/07/2026;D;ADAO;GM;RJ / SP;TONS;15.151,00;15.151,00;100%;;;;REALIZADO;;
31/07/2026;D;ADAO;FLOOR;PRODUÇÃO;PAL;155,00;155,00;100%;;;;;;
01/08/2026;A;TATIANE;FM;FM;TONS;23.518,00;23.518,00;100%;;;EPEEDYLOG;;REALIZADO;EXPEDIDO - JOSUE
01/08/2026;A;TATIANE;FOB;FOB;TONS;21.172,00;21.172,00;100%;;;PROPRIO;;REALIZADO;EXPEDIDO JONATAS 
01/08/2026;A;TATIANE;FOB;FOB;TONS;3.796,00;3.796,00;100%;;;PROPRIO;;REALIZADO;EXPEDIDO JOSÉ DENILSON
01/08/2026;A;TATIANE;FOB;FOB;TONS;12.323,00;12.323,00;100%;;;PROPRIO;;REALIZADO;EXPEDIDO MARIO
01/08/2026;A;TATIANE;FOB;FOB;TONS;3.375,00;3.375,00;100%;;;PROPRIO;;REALIZADO;EXPEDIDO MARCELO DANIEL
01/08/2026;A;TATIANE;FLOOR;FLOOR;PAL;50,00;50,00;100%;;;;;;
01/08/2026;A;TATIANE;GM;SUL;TONS;6.843,00;6.843,00;100%;;;;;REALIZADO;EXPEDIDO ODAIR
01/08/2026;A;TATIANE;INVENTÁRIO;INVENTÁRIO;;;;;;;;;;FALTA FINALIZAR RUA 04 LADO IMPAR
01/08/2026;A;TATIANE;REC CACAU;REC CACAU;TONS;67.000,00;67.000,00;100%;;;;;;FALTA DAR ENTRADA EM UMA NF 130867
08/01/2026;B;THIAGO;FLOOR;PRODUÇÃO / CACAU;PAL;;;;;;;;;
08/01/2026;B;THIAGO;INVENTÁRIO;INVENTÁRIO;;;;;;;;;;
02/08/2026;A;TATIANE;GRANEL;GRANEL;TONS;31.410,00;31.410,00;100%;;31410;JSL;REALIZADO;REALIZADO;
02/08/2026;A;TATIANE;FM;FM;TONS;26.507,00;26.507,00;100%;;;EPEEDYLOG;;REALIZADO;EXPEDIDO
04/08/2026;C;ADIB;REC CACAU;REC CACAU;PAL;25,00;25,00;100%;;;TIO CARLO;;;RECEBIDO E ARMAZENADO
04/08/2026;C;ADIB;CACAU BR15;CACAU;TONS;30.156,00;30.156,00;100%;;;SMARTLOG;REALIZADO;PARCIAL;ROTA SEPARADA - CARREGAMENTOS EM ANDAMENTO
04/08/2026;C;ADIB;REC CACAU;REC CACAU;PAL;26,00;26,00;100%;;;TIO CARLO;;;RECEBIDO E ARMAZENADO
08/05/2026;B;THIAGO;FM;SIENA;TONS;19.422,00;19.422,00;100%;;19422;EPEEDYLOG;REALIZADO;REALIZADO;
08/05/2026;B;THIAGO;FLOOR;;PAL;123,00;123,00;100%;;;;;;
06/08/2026;A;TATIANE;GRANEL;FM;TONS;26.000,00;26.230,00;101%;;26230;JSL;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;GRANEL;FM;TONS;10.000,00;12.150,00;122%;;12150;JSL;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;FM;FM;TONS;27.339,00;27.339,00;100%;;27339;EPEEDYLOG;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;FM;FM;TONS;14.721,00;14.721,00;100%;;14.721,00;EPEEDYLOG;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;FM;FM ;TONS;14.721,00;14.721,00;100%;;14.721,00;EPEEDYLOG;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;FM;FM ;TONS;12.948,00;12.948,00;100%;;12.948,00;EPEEDYLOG;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;FM;FM ;TONS;26.733,00;;;;;EPEEDYLOG;PENDENTE;PENDENTE;OTS GERADAS
06/08/2026;A;TATIANE;RECEBIMENTO;RECEBIMENTO;TONS;12.963,00;;;;;EPEEDYLOG;;;RECEBIMENTO FEITO
06/08/2026;A;TATIANE;FLOOR;FLOOR;;;;;;;EPEEDYLOG;REALIZADO;REALIZADO;
06/08/2026;A;TATIANE;SEP CACAU;SEP CACAU;TONS;28.569,00;28.569,00;100%;;28.569,00;;REALIZADO;PENDENTE;
06/08/2026;A;TATIANE;;;;;;;;;;;;
08/06/2026;B;THIAGO;cacau;cacau;TONS;800,00;800,00;100%;;800;SMARTLOG;REALIZADO;REALIZADO;
08/06/2026;B;THIAGO;FM;NESTLE;TONS;15.106,00;15.106,00;100%;;15106;EPEEDYLOG;REALIZADO;REALIZADO;
08/06/2026;B;THIAGO;FM;PANDURATA;TONS;24.800,00;24.800,00;100%;;24800;EPEEDYLOG;REALIZADO;REALIZADO;
08/06/2026;B;THIAGO;FM;PANDURATA;TONS;24.395,00;24.395,00;100%;;;;;;FATURAR QUANDO VEICULO CHEGAR
07/08/2026;C;ADIB;FM;CAMIL;TONS;12.948,00;12.948,00;100%;;12948;EPEEDYLOG;REALIZADO;PENDENTE;AGUARDANDO CARRO
07/08/2026;C;ADIB;FM;I.B.A.E;TONS;28.054,00;28.054,00;100%;;28054;EPEEDYLOG;REALIZADO;PENDENTE;AGUARDANDO CARRO
07/08/2026;C;ADIB;FM;MAGNUM;TONS;18.935,00;18.935,00;100%;;18935;EPEEDYLOG;REALIZADO;REALIZADO;CARREGADO E LIBERADO
07/08/2026;C;ADIB;SEP CACAU;CACAU ;TONS;7,50;7,50;100%;;7,5;SMARTLOG;REALIZADO;PARCIAL;SEPARADO E FATURADO
07/08/2026;C;ADIB;FM;PANDURATA;TONS;24.396,00;24.396,00;100%;;;SMARTLOG;REALIZADO;REALIZADO;CARREGADO E LIBERADO
07/08/2026;C;ADIB;GRANEL;UNILEVER;TONS;10.670,00;10.670,00;100%;;10670;JSL;REALIZADO;REALIZADO;GRANEL UNILEVER - LIBERAR CARRO AS 18:30
07/08/2026;C;ADIB;EXPORTAÇÃO;DGRX;TONS;13.422,00;13.422,00;100%;;13422;PROPRIO;REALIZADO;REALIZADO;FALTA LIBERAÇÃO EMIAL DIVERGENCIA
07/08/2026;D;ADAO;FOB;RFC/MBF;TONS;17.382,00;17.382,00;100%;;;PROPRIO;PENDENTE;PENDENTE;
07/08/2026;D;ADAO;SMT;SP;TONS;6.106,00;6.106,00;100%;;6.106,00;SMARTLOG;REALIZADO;;
07/08/2026;D;ADAO;GM;CARREFOUR;TONS;23.416,00;23.416,00;100%;;23416;EPEEDYLOG;REALIZADO;PENDENTE;FALTA ETIQUETAR COM AS ETIQUETA NUTRICIONAL
07/08/2026;D;ADAO;GM;NORTE;TONS;19.730,00;19.730,00;100%;;;TAFF;REALIZADO;PENDENTE;FALTA FINALIZAR A SEPARAÇÃO E FATURAR
07/08/2026;D;ADAO;GM;CO / ES;TONS;17.693,00;0,00;;17.693,00;;TAFF;REALIZADO;PENDENTE;OTS GERADAS FALTA SEPARAR
07/08/2026;D;ADAO;FLOOR / PK1;PRODUÇÃO;;122,00;122,00;100%;;;;;;
08/08/2026;C;ADIB;GM;NORTE;TONS;7.079,00;7.079,00;100%;;;TAFF;REALIZADO;PENDENTE;
08/08/2026;C;ADIB;GM;ESPIRITO SANTO;TONS;4.252,00;4.252,00;100%;;;TAFF;REALIZADO;PENDENTE;
08/08/2026;C;ADIB;GM;CARREFOUR;TONS;23.416,00;23.416,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;CARGA ETIQUETADA E CARREGADA
08/08/2026;C;ADIB;GM;C.OESTE;TONS;13.441,00;10.380,00;77%;3.061,00;;TAFF;PARCIAL;PENDENTE;FINALIZAR SEPARAÇÕES
09/08/2026;A;TATIANE;GM;RJ;TONS;22.711,00;8.500,00;37%;;20.711,00;OMEGA X;PARCIAL;PENDENTE;FALTA TRÊS DELIVERYS PARA FATURAR
09/08/2026;A;TATIANE;GM;RJ;TONS;18.049,00;8.200,00;45%;;;OMEGA X;PENDENTE;PENDENTE;
09/08/2026;A;TATIANE;GRANEL;GRANEL;TONS;20.000,00;18.880,00;94%;;18.880,00;JSL;REALIZADO;REALIZADO;AGUARDANDO MOTORISTA ALEX VIR BUSCAR
09/08/2026;A;TATIANE;GRANEL;GRANEL;TONS;12.000,00;;;;;JSL;PENDENTE;PENDENTE;EM CARREGAMENTO
09/08/2026;A;TATIANE;SEP CACAU;CACAU BR15;TONS;12.327,00;8.171,00;66%;;1.200,00;;PARCIAL;PENDENTE;DELIVERY DE CACAU -  SEM SALDO
10/08/2026;A;TATIANE;GM;SUL;TONS;17.973,00;7.973,00;44%;;8.793,00;RENOVAÇÃO;PENDENTE;PENDENTE;SEPARADO PARCIAL
10/08/2026;A;TATIANE;SEP CACAU;CACAU BR15;TONS;12.327,00;12.327,00;100%;;12.327,00;;REALIZADO;PARCIAL;
10/08/2026;A;TATIANE;SEP CACAU;CACAU BR15;TONS;23.048,00;23.048,00;100%;;23.048,00;;REALIZADO;PENDENTE;
10/08/2026;A;TATIANE;GRANEL;GRANEL;TONS;30.000,00;28.580,00;95%;;28.580,00;JSL;REALIZADO;REALIZADO;
10/08/2026;A;TATIANE;FM;FM;TONS;14.000,00;14.721,00;105%;;14.721,00;EPEEDYLOG;REALIZADO;REALIZADO;
10/08/2026;A;TATIANE;FM;FM;TONS;16.065,00;16.065,00;100%;;;EPEEDYLOG;PENDENTE;PENDENTE;MOTORISTA AGUARDANDO - RODRIGO
10/08/2026;A;TATIANE;GM;SP;TONS;17.554,00;303,00;2%;;303;SMARTLOG;PARCIAL;PARCIAL;CARREGAMOS A AGENDA CRM
10/08/2026;A;TATIANE;FLOOR / PK1;FLOOR;PAL;120,00;100,00;83%;20,00;;;;;
10/08/2026;B;THIAGO;GM;SUL PR;TONS;10.000,00;10.000,00;100%;;15271;;;;
10/08/2026;B;THIAGO;GM;SUL SC;TONS;14.495,00;13.387,00;92%;1.108,00;;;;;falta de espaço e lentidao da equipe
10/08/2026;B;THIAGO;GM;SUL RS;TONS;21.393,00;;;;;;;;GERADO PARCIAL
10/08/2026;B;THIAGO;RECEBIMENTO;CACAU BR15;TONS;24.000,00;24.000,00;100%;;;;;;
10/08/2026;B;THIAGO;;cacau;tons;;;;;;;;;
10/08/2026;B;THIAGO;GM;HAMASAKI;TONS;1.385,00;1.385,00;100%;;;;;;
10/08/2026;B;THIAGO;ABASTECIMENTO;;PAL;22,00;22,00;100%;;;;;;
10/08/2026;B;THIAGO;FM;PANDURATA;TONS;25.522,00;25.522,00;100%;;25522;;;;
10/08/2026;B;THIAGO;;FLOOR/CACAU;PAL;140;140,00;100%;;;;;;
11/08/2026;C;ADIB;GM;SUL SC;TONS;1.108,00;1.108,00;100%;;13,387;TAFF;REALIZADO;PENDENTE;ELOG FALTA REMONTAR CARGA
11/08/2026;C;ADIB;GM;SUL RS;TONS;21.393,00;;;;;;;;
11/08/2026;C;ADIB;FM;MAGNUM ICC;TONS;26.354,00;26.354,00;100%;;26354;EPEEDYLOG;REALIZADO;REALIZADO;
11/08/2026;C;ADIB;FM;PANDURATA;TONS;25.552,00;25.552,00;100%;;25552;EPEEDYLOG;REALIZADO;REALIZADO;CARREGADO E LIBERADO
11/08/2026;C;ADIB;GM;SMARTLOG AGENDADA;TONS;2.967,00;;;;;;;;FALTA SEPARAR DELIVERY GERADAS
11/08/2026;C;ADIB;FOB;COFERPAN/C.COMER;TONS;6.959,00;3.956,00;57%;3.003,00;;PROPRIO;PENDENTE;PENDENTE;FALTA SEPARAR DELIVERY 17807983
11/08/2026;C;ADIB;GRANEL ;FRONERI;TONS;23.560,00;23.560,00;100%;;23560;JSL;REALIZADO;REALIZADO;LIBERADO
11/08/2026;C;ADIB;GRANEL;PANDURATA;TONS;28.270,00;28.270,00;100%;;28270;JSL;REALIZADO;REALIZADO;LIBERADO
11/08/2026;D;VINICIUS;FM;SIENA;TONS;19.990,00;19.990,00;100%;;19990;EPEEDYLOG;REALIZADO;REALIZADO;
11/08/2026;D;VINICIUS;FOB;DISPAN;TONS;22.003,00;22.003,00;100%;;0;PROPRIO;PENDENTE;PENDENTE;SEPARADO FALTA CONFERENCIA E FATURAMENTO
11/08/2026;D;VINICIUS;GM;MG/ NORDESTE;TONS;26.466,00;250,00;1%;26.216,00;;BORA;PENDENTE;PENDENTE;NORDESTE SEPARAÇÃO INICIADA FALTA FINALIZAR/ MG OTS GERADAS FALTA INICIAR A SEPARAÇAO
11/08/2026;D;VINICIUS;AGENDA ;SP;TONS;3.500,00;3.500,00;100%;;;SMARTLOG;;;
12/08/2026;C;ADIB;GM;NORDERSTE;TONS;7.605,00;7.605,00;100%;;;BORA;REALIZADO;PENDENTE;
12/08/2026;C;ADIB;FOB;CUNHAPAN /CASA PAN;TONS;24.963,00;24.963,00;100%;;;PROPRIO;PENDENTE;PENDENTE;AGUARDANDO CARRO
12/08/2026;C;ADIB;FOB;DISPAN;TONS;22.003,00;22.003,00;100%;;;PROPRIO;REALIZADO;REALIZADO;
12/08/2026;C;ADIB;GM;SMARTLOG AGENDADOS;TONS;6.780,00;6.780,00;100%;;;SMARTLOG;PARCIAL;PENDENTE;
12/08/2026;C;ADIB;FM;TOC MIX;TONS;26.000,00;26.000,00;100%;;;EPEEDYLOG;REALIZADO;PENDENTE;AGUARDANDO CARRO
12/08/2026;C;ADIB;FM;PANDURATA;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;CARREGADO E LIBERADO
12/08/2026;C;ADIB;CACAU;CACAU;TONS;7.644,00;7.644,00;100%;;;SMARTLOG;REALIZADO;PENDENTE;
12/08/2026;C;ADIB;DESCARTE;DESCARTE INTERAÇÃO;PAL;26,00;26,00;100%;;;PROPRIO;REALIZADO;REALIZADO;SEPARADO CARREGADO E LIBERADO 
12/08/2026;D;VINICIUS;GM;MG;TONS;17.618,00;0,00;;17.618,00;;BORA;PENDENTE;PENDENTE;FALTA SEPARAR
12/08/2026;D;VINICIUS;FM;PANDURATA/SIENA/ NESTLE;TONS;110.492,00;110.492,00;100%;;;;;;
12/08/2026;D;VINICIUS;GM;MG/ SMT / RIBERFOODS;TONS;24.107,00;24.107,00;100%;;;;;;
12/08/2026;D;VINICIUS;FLOOR / PK1;PRODUÇÃO;;55,00;55,00;100%;;;;;;SEPARADO  FALTA FATURAR
13/08/2026;A;TATIANE;FOB;FOB 13/08;TONS;35.486,00;33.722,00;95%;1.764,00;11016;;PARCIAL;PARCIAL;
13/08/2026;A;TATIANE;FM;FM;TONS;16.586,00;16.586,00;100%;;16586;EPEEDYLOG;REALIZADO;PARCIAL;
13/08/2026;A;TATIANE;SP CAP/INT;SP CAP/INT;TONS;16.796,00;16.796,00;100%;;16.015,00;SMARTLOG;PARCIAL;PARCIAL;
13/08/2026;A;TATIANE;GM;GM;TONS;9.155,00;9.155,00;100%;;9.155,00;BORA;REALIZADO;PARCIAL;
13/08/2026;A;TATIANE;GRANEL;GRANEL;TONS;26.000,00;25.910,00;100%;90,00;25.910,00;JSL;REALIZADO;REALIZADO;
13/08/2026;A;TATIANE;FLOOR / PK1;PRODUÇÃO;PAL;100,00;80,00;80%;20,00;;;;;
13/08/2026;A;TATIANE;SEP CACAU;CACAU;TONS;14.873,00;12.643,00;85%;;;;PENDENTE;PENDENTE;SEPARADO -  CONFERIR E FATURAR
13/08/2026;B;THIAGO;FM;nestle;TONS;11.869,00;11.869,00;100%;;11869;;;;
13/08/2026;B;THIAGO;SP CAP/INT;;TONS;18.233,00;18.233,00;100%;;18233;;;;
13/08/2026;B;THIAGO;FM;nestle;TONS;10.790,00;10.790,00;100%;;1;;;;
13/08/2026;B;THIAGO;GRANEL;pandurata;TONS;23.880,00;23.880,00;100%;;23880;;;;
13/08/2026;B;THIAGO;abastecimento;;PAL;37,00;37,00;100%;;;;;;
13/08/2026;B;THIAGO;FM;PANDURATA;;;;;;25052;;;;
13/08/2026;B;THIAGO;FM;PANDURATA;;;;;;28054;;;;
13/08/2026;B;THIAGO;GM;CROSS CO/NO/ES 1;TONS;14.542,00;14.542,00;100%;;14542;;;;
13/08/2026;B;THIAGO;GRANEL;UNILEVER;TONS;9.470,00;9.470,00;100%;;9470;;;;
13/08/2026;B;THIAGO;;FLOOR/CACAU;PAL;110,00;;;;;;;;
13/08/2026;B;THIAGO;;;;;;;;;;;;
14/08/2026;A;TATIANE;GM;GM;TONS;13.355,00;5.355,00;40%;;;TAFF;REALIZADO;REALIZADO;
14/08/2026;A;TATIANE;GM;GM;TONS;12.587,00;12.587,00;100%;;12.857,00;TAFF;REALIZADO;PENDENTE;
14/08/2026;A;TATIANE;GM;GM;TONS;18.784,00;18.784,00;100%;;18.784,00;;;;
14/08/2026;A;TATIANE;GM;GM;TONS;16.569,00;16.569,00;100%;;16.659,00;EPEEDYLOG;REALIZADO;REALIZADO;
14/08/2026;A;TATIANE;FOB;FOB 14/08;TONS;1.702,00;1.702,00;100%;;1.702,00;PROPRIO;REALIZADO;PENDENTE;
14/08/2026;A;TATIANE;FOB;FOB 14/08;TONS;14.518,00;;;;;;PENDENTE;PENDENTE;GERADO- SEPARAR
14/08/2026;A;TATIANE;CACAU;REC CACAU;TONS;24.000,00;24.000,00;100%;;;TIO CARLO;;;
14/08/2026;A;TATIANE;CACAU;CACAU;TONS;22.981,00;22.981,00;100%;;;;PENDENTE;PENDENTE;
14/08/2026;B;THIAGO;SP CAP/INT;SP CAP/INT;TONS;1.828,00;;;;1.828,00;SMARTLOG;REALIZADO;PENDENTE;
14/08/2026;A;TATIANE;MACEIO;MACEIO;TONS;13.209,00;13.209,00;100%;;13.209,00;EPEEDYLOG;REALIZADO;REALIZADO;
14/08/2026;B;THIAGO;;abastecimento;PAL;49,00;;;;;;;;
